15	6	9
12	4	7
10	3	7
10	3	7
10	4	6
10	5	5
12	5	6
11	4	6
10	5	5
10	2	8
15	5	10
11	4	7
10	3	7
11	5	6
10	4	6
10	2	8
10	2	8
10	2	8
10	2	8
10	4	5
10	3	7
10	3	7
12	4	8
10	2	8
12	3	9
11	4	7
11	3	8
11	3	7
12	3	9
10	3	7
11	3	8
12	3	9
12	3	9
15	4	11
10	3	6
11	3	8
11	5	6
11	4	7
10	2	8
10	2	8
10	3	7
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
13	3	10
10	3	6
10	3	7
10	3	7
10	2	8
11	5	6
10	2	8
10	2	8
12	3	9
14	5	9
10	5	5
11	3	8
11	2	8
10	2	8
10	2	8
10	2	8
12	4	8
20	5	15
10	2	8
12	3	9
14	3	11
17	4	13
16	5	11
10	2	8
10	2	8
10	4	6
13	3	10
15	5	9
20	8	12
14	3	11
14	3	11
14	7	7
14	7	7
12	5	6
12	5	7
11	5	6
12	4	8
13	4	9
12	3	9
12	3	8
15	3	12
12	4	8
12	4	8
10	2	7
10	2	8
10	2	8
10	2	8
11	3	8
13	4	9
14	5	8
11	5	6
11	5	6
11	5	6
10	5	5
10	5	5
10	5	5
10	5	5
10	5	5
10	5	5
10	5	5
10	5	5
10	5	5
10	5	5
10	5	5
11	5	6
11	5	6
11	5	6
11	5	6
11	5	6
11	5	6
11	5	6
11	5	6
12	5	7
12	5	7
12	5	7
12	5	7
13	5	7
13	5	8
11	5	6
13	5	8
12	3	9
13	4	9
12	6	6
12	6	6
11	4	7
12	6	6
11	5	6
11	5	6
11	5	6
11	5	6
10	3	7
10	5	5
10	2	8
10	2	8
13	4	9
10	3	6
16	5	11
16	6	10
15	6	9
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
10	3	7
10	3	7
10	3	7
10	3	7
10	3	7
10	3	7
10	3	7
10	3	7
11	4	7
11	4	7
10	2	8
10	2	8
12	3	9
10	5	5
10	4	6
11	3	8
11	3	8
10	2	8
12	4	8
15	6	9
12	6	6
10	4	6
10	4	6
10	4	6
10	4	6
10	4	6
10	3	7
13	5	8
12	4	8
13	4	9
13	4	9
13	4	9
10	2	8
11	4	7
13	4	9
14	4	10
12	3	9
10	2	7
10	2	8
10	3	7
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
15	6	8
15	5	10
15	4	10
10	3	7
10	2	8
10	2	8
11	3	8
12	2	9
13	3	10
14	3	11
12	3	9
12	3	9
15	5	10
15	5	10
12	4	8
12	4	8
12	4	8
12	4	8
12	4	8
10	4	6
10	4	6
12	5	7
12	4	8
11	3	8
11	3	8
11	3	8
11	4	7
11	4	7
11	4	7
14	5	9
15	6	9
15	6	9
11	5	6
10	5	5
10	5	5
11	5	6
10	5	5
10	4	6
14	7	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
11	4	7
10	2	8
10	2	8
10	2	8
10	4	6
13	5	8
13	4	9
14	5	9
14	4	9
13	4	9
13	5	8
11	4	7
11	3	8
11	3	8
10	4	6
10	3	7
10	4	6
10	4	6
10	4	6
10	3	7
10	3	7
10	3	7
11	3	8
12	3	9
14	5	9
12	6	6
15	3	12
15	3	12
15	3	12
19	3	15
19	3	15
20	5	15
24	6	18
18	9	9
18	9	9
18	9	9
18	9	9
18	9	9
18	9	9
18	9	9
18	9	9
24	6	18
24	6	18
24	6	18
24	6	18
24	6	18
24	6	18
10	2	8
12	5	7
12	3	9
10	2	8
10	2	8
10	4	6
10	4	6
11	5	6
11	5	6
11	5	6
11	4	7
11	4	7
11	4	7
11	4	7
11	5	6
11	5	6
10	4	6
10	4	6
10	4	6
10	3	6
10	4	6
10	4	6
11	4	7
11	4	7
11	4	7
10	4	6
12	3	9
12	3	9
11	3	8
11	3	8
11	3	8
11	4	7
12	4	8
10	2	8
10	2	8
10	2	8
16	4	12
12	2	9
23	4	16
22	10	12
20	5	15
16	5	11
16	5	11
15	5	10
16	4	12
20	5	14
12	4	8
12	4	8
12	4	8
11	4	7
11	4	7
11	4	7
11	4	7
11	4	6
10	3	7
12	4	8
11	3	8
11	3	8
10	2	8
11	3	8
11	4	7
11	3	8
11	3	8
11	3	8
11	3	8
11	3	8
10	2	8
10	5	5
10	5	5
12	6	6
11	4	7
10	3	7
15	3	11
12	3	8
12	4	8
12	4	8
12	4	8
12	4	8
12	5	7
10	2	8
25	5	19
22	10	12
15	3	12
15	3	12
15	3	12
15	3	12
15	4	11
15	3	12
11	2	8
10	2	8
10	2	8
10	3	7
10	2	8
10	2	8
13	3	10
11	3	8
10	2	8
10	2	8
10	2	8
10	2	8
30	6	24
20	4	16
12	6	6
11	3	7
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
15	6	9
14	3	11
14	5	9
12	3	9
11	5	6
10	2	8
10	4	6
10	2	8
10	2	8
10	2	8
12	3	9
10	3	7
10	4	6
10	4	5
12	5	7
12	5	7
12	6	6
11	5	6
10	5	5
15	4	11
16	5	11
11	3	8
10	2	8
10	2	8
10	2	8
11	5	6
10	5	5
10	5	5
11	4	7
10	3	7
20	8	12
20	8	12
12	5	7
12	6	6
12	6	6
10	2	8
10	4	6
11	5	6
10	2	8
11	3	8
10	5	5
11	5	6
11	3	8
10	3	7
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
10	2	8
12	4	8
11	4	7
11	4	7
10	4	6
13	3	10
10	2	8
