Module	Section	Sample Name	Source
fastp	all_sections	CZP-1_S3	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/CZP-1_S3.json
fastp	all_sections	CZP-2_S4	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/CZP-2_S4.json
fastp	all_sections	ELP-1_S49	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/ELP-1_S49.json
fastp	all_sections	FRUpstream-1_S1	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/FRUpstream-1_S1.json
fastp	all_sections	FRUpstream-2_S2	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/FRUpstream-2_S2.json
fastp	all_sections	FZP-1_S50	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/FZP-1_S50.json
fastp	all_sections	FZP-2_S51	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/FZP-2_S51.json
fastp	all_sections	FZP-3_S52	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/FZP-3_S52.json
fastp	all_sections	HFP-1_S53	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/HFP-1_S53.json
fastp	all_sections	KTP-1_S13	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-1_S13.json
fastp	all_sections	KTP-2_S14	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-2_S14.json
fastp	all_sections	KTP-3_S15	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-3_S15.json
fastp	all_sections	KTP-4_S16	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-4_S16.json
fastp	all_sections	KTP-5_S17	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-5_S17.json
fastp	all_sections	KTP-6_S18	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-6_S18.json
fastp	all_sections	KTP-7_S19	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-7_S19.json
fastp	all_sections	KTP-8_S20	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-8_S20.json
fastp	all_sections	KTP-9_S21	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-9_S21.json
fastp	all_sections	KTP-10_S22	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-10_S22.json
fastp	all_sections	KTP-11_S23	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-11_S23.json
fastp	all_sections	KTP-12_S24	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-12_S24.json
fastp	all_sections	KTP-13_S25	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-13_S25.json
fastp	all_sections	KTP-14_S26	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-14_S26.json
fastp	all_sections	KTP-15_S27	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-15_S27.json
fastp	all_sections	KTP-16_S28	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-16_S28.json
fastp	all_sections	KTP-17_S29	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-17_S29.json
fastp	all_sections	KTP-18_S30	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-18_S30.json
fastp	all_sections	KTP-19_S31	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/KTP-19_S31.json
fastp	all_sections	STP-1_S46	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/STP-1_S46.json
fastp	all_sections	STP-2_S47	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/STP-2_S47.json
fastp	all_sections	STP-3_S48	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/STP-3_S48.json
fastp	all_sections	WBP-1_S5	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/WBP-1_S5.json
fastp	all_sections	WBP-2_S6	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/WBP-2_S6.json
fastp	all_sections	WBP-3_S7	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/WBP-3_S7.json
fastp	all_sections	WBP-4_S8	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/WBP-4_S8.json
fastp	all_sections	WBP-5_S9	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/WBP-5_S9.json
fastp	all_sections	WBP-6_S10	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/WBP-6_S10.json
fastp	all_sections	WBP-7_S11	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/WBP-7_S11.json
fastp	all_sections	WBP-8_S12	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/WBP-8_S12.json
fastp	all_sections	WZP-1_S32	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/WZP-1_S32.json
fastp	all_sections	WZP-2_S33	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/WZP-2_S33.json
fastp	all_sections	WZP-3_S34	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/WZP-3_S34.json
fastp	all_sections	WZP-4_S35	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1767_qc/fastp/WZP-4_S35.json
